Month,Inflation Rate
January-2014,8.6
February-2014,7.9
March-2014,8.2
April-2014,8.5
May-2014,8.3
June-2014,6.8
July-2014,7.4
August-2014,7.0
September-2014,5.6
October-2014,4.6
November-2014,3.3
December-2014,4.3
January-2015,5.2
February-2015,5.4
March-2015,5.3
April-2015,4.9
May-2015,5.0
June-2015,5.4
July-2015,3.7
August-2015,3.7
September-2015,4.4
October-2015,5.0
November-2015,5.4
December-2015,5.6
January-2016,5.7
February-2016,5.3
March-2016,4.8
April-2016,5.5
May-2016,5.8
June-2016,5.8
July-2016,6.1
August-2016,5.0
September-2016,4.4
October-2016,4.2
November-2016,3.6
December-2016,3.4
January-2017,3.2
February-2017,3.7
March-2017,3.9
April-2017,3.0
May-2017,2.2
June-2017,1.5
July-2017,2.4
August-2017,3.3
September-2017,3.3
October-2017,3.6
November-2017,4.9
December-2017,5.2
January-2018,5.1
February-2018,4.4
March-2018,4.3
April-2018,4.6
May-2018,4.9
June-2018,4.9
July-2018,4.2
August-2018,3.7
September-2018,3.7
October-2018,3.4
November-2018,2.3
December-2018,2.1
January-2019,2.0
February-2019,2.6
March-2019,2.9
April-2019,3.0
May-2019,3.0
June-2019,3.2
July-2019,3.1
August-2019,3.3
September-2019,4.0
October-2019,4.6
November-2019,5.5
December-2019,7.4
January-2020,7.6
February-2020,6.6
March-2020,5.8
April-2020,7.2
May-2020,6.3
June-2020,6.2
July-2020,6.7
August-2020,6.7
September-2020,7.3
October-2020,7.6
November-2020,6.9
December-2020,4.6
January-2021,4.1
February-2021,5.0
March-2021,5.5
April-2021,4.2
May-2021,6.3
June-2021,6.3
July-2021,5.6
August-2021,5.3
September-2021,4.3
October-2021,4.5
November-2021,4.9
December-2021,5.7
January-2022,6.0
February-2022,6.1
March-2022,7.0
April-2022,7.8
May-2022,7.0
June-2022,7.0
July-2022,6.7
August-2022,7.0
September-2022,7.4
October-2022,6.8
November-2022,5.9
December-2022,5.7
January-2023,6.5
February-2023,6.4
March-2023,5.7
April-2023,4.7
May-2023,4.3
June-2023,4.9
July-2023,7.4
August-2023,6.8
September-2023,5.0
October-2023,4.9
November-2023,NULL
December-2023,NULL
